index,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
0,"Calle de Carretas, Madrid, 25",1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29898,Centro,True,Sol 4A Stu Int Atic,4,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,27,rent,,946.0,32.0,84203646,studio,Madrid,0,True,30.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle de Carretas, Madrid, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/d7/79/633994451.jpg,https://www.idealista.com/inmueble/84203646/
1,"Calle de Carretas, Madrid, 25",1,es,"{'typology': 'flat', 'subTypology': 'penthouse'}",29898,Centro,False,Sol 3C Int Attic,3,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,28,rent,,946.0,32.0,84590828,penthouse,Madrid,1,True,30.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Ático en Calle de Carretas, Madrid, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/20/3a/642510529.jpg,https://www.idealista.com/inmueble/84590828/
2,"Calle de Carretas, Madrid, 25",1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29898,Centro,False,Carretas Bajo B,bj,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,22,rent,,946.0,21.0,84227990,studio,Madrid,0,True,45.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle de Carretas, Madrid, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8a/ac/e5/634531858.jpg,https://www.idealista.com/inmueble/84227990/
3,Calle Iriarte,1,es,{'typology': 'flat'},29597,Salamanca,False,ca31875ef7d0d581c9eb,1,False,False,False,False,False,40.4369562,-3.6724464,Madrid,Guindalera,False,0,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 73.0}",1300.0,19.0,87191834,flat,Madrid,1,False,70.0,,"{'subtitle': 'Guindalera, Madrid', 'title': 'Piso en Calle Iriarte'}",,https://www.idealista.com/inmueble/87191834/
4,La Moraleja,5,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",34325,La Moraleja,False,MOAI87,,False,False,,True,True,40.5225644,-3.6091452,La Moraleja,,False,29,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10000.0,12.0,84907032,chalet,Madrid,5,False,850.0,good,"{'subtitle': 'La Moraleja, La Moraleja', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/4c/75/649598605.jpg,https://www.idealista.com/inmueble/84907032/
5,La Moraleja,7,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",34657,La Moraleja,False,154805,,False,False,,True,False,40.5223005,-3.6184709,La Moraleja,,False,40,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10000.0,12.0,84371099,chalet,Madrid,7,False,850.0,good,"{'subtitle': 'La Moraleja, La Moraleja', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6e/5f/4c/637633222.jpg,https://www.idealista.com/inmueble/84371099/
6,La Moraleja,7,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",34496,La Moraleja,False,154805,,False,False,,True,False,40.5209005,-3.6178709,La Moraleja,,False,40,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10000.0,12.0,84125447,chalet,Madrid,7,False,850.0,good,"{'subtitle': 'La Moraleja, La Moraleja', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/d0/0d/632332319.jpg,https://www.idealista.com/inmueble/84125447/
7,La Moraleja,8,es,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",34329,La Moraleja,False,MOA01930,,False,False,,True,False,40.5228644,-3.6084452,La Moraleja,,False,43,rent,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10000.0,12.0,84224609,chalet,Madrid,8,False,850.0,good,"{'subtitle': 'La Moraleja, La Moraleja', 'title': 'Casa independiente'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/0b/11/634469364.jpg,https://www.idealista.com/inmueble/84224609/
8,"Calle de Carretas, 25",1,es,"{'typology': 'flat', 'subTypology': 'studio'}",29898,Centro,False,1C EST INT BALCON,1,False,False,False,True,False,40.4153495,-3.7031398,Madrid,Sol,False,15,rent,,1029.0,29.0,87208915,studio,Madrid,0,True,35.0,good,"{'subtitle': 'Sol, Madrid', 'title': 'Estudio en Calle de Carretas, 25'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/82/dc/714639156.jpg,https://www.idealista.com/inmueble/87208915/
9,"Calle de la Madera, Madrid",1,es,{'typology': 'flat'},30514,Centro,False,016-01927 / 665-380,bj,False,False,False,True,False,40.4216235,-3.7058049,Madrid,Malasaña-Universidad,False,26,rent,,1265.0,19.0,82494848,flat,Madrid,1,False,68.0,good,"{'subtitle': 'Malasaña-Universidad, Madrid', 'title': 'Piso en Calle de la Madera, Madrid'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9b/76/e3/598948162.jpg,https://www.idealista.com/inmueble/82494848/
